Expr1000,ITEMDESCRIPTION,ITEMUNITE,ITEMSPECIFICATIONNO,ITEMBASICRATE,LABOURRATE
I No:1-A / Pg No:1,Royalty Charges for HARD MURUM. Rate = Royalty + surcharge (2%) (211.95 + 4.23 = 216.18 Per Cum),Cu.Mt.,As Directed By Engineer Incharge,216.18,216.18
I No:1-B / Pg No:1,Royalty Charges for SOFT MURUM. Rate = Royalty + surcharge (2%) (211.95 + 4.23 = 216.18 Per Cum),Cu.Mt.,As Directed By Engineer Incharge,216.18,216.18
I No:1-C / Pg No:1,Royalty Charges for METAL. Rate = Royalty + surcharge (2%) (211.95 + 4.23 = 216.18 Per Cum),Cu.Mt.,As Directed By Engineer Incharge,216.18,216.18
I No:1-D / Pg No:1,Royalty Charges for CRUSH METAL. Rate = Royalty + surcharge (2%) (211.95 + 4.23 = 216.18 Per Cum),Cu.Mt.,As Directed By Engineer Incharge,216.18,216.18
I No:1-E / Pg No:1,Royalty Charges for METAL 60MM. Rate = Royalty + surcharge (2%) (211.95 + 4.23 = 216.18 Per Cum),Cu.Mt.,As Directed By Engineer Incharge,216.18,216.18
I No:1-F / Pg No:1,Royalty Charges for METAL 40MM. Rate = Royalty + surcharge (2%) (211.95 + 4.23 = 216.18 Per Cum),Cu.Mt.,As Directed By Engineer Incharge,216.18,216.18
I No:1-G / Pg No:1,Royalty Charges for HAND BROKEN 60MM. Rate = Royalty + surcharge (2%) (211.95 + 4.23 = 216.18 per cum),Cu.Mt.,As Directed By Engineer Incharge,216.18,216.18
I No:1-H / Pg No:1,Royalty Charges for HAND BROKEN 40MM. Rate = Royalty + surcharge (2%) (211.95 + 4.23 = 216.18 Per Cum),Cu.Mt.,As Directed By Engineer Incharge,216.18,216.18
I No:1-I / Pg No:1,Royalty Charges for NATURAL SAND. Rate = Royalty + surcharge (2%) + Distt. Mineral Foundation Cess (10%)  (211.95+4.23+21.19 = 237.37 Per Cum),Cu.Mt.,As Directed By Engineer Incharge,237.37,237.37
I No:1-J / Pg No:1,Royalty Charges for RUBBLE. Rate = Royalty + surcharge (2%) (211.95 + 4.23 = 216.18 Per Cum),Cu.Mt.,As Directed By Engineer Incharge,216.18,216.18
I No:1-K / Pg No:1,Royalty Charges for SOIL. Rate = Royalty + surcharge (2%) (211.95 + 4.23 = 216.18 Per Cum),Cu.Mt.,As Directed By Engineer Incharge,216.18,216.18
I No:1-01 / Pg No:13,"Fixing chainage Stone /Bench mark Stone / Center Stone / Apex Stone in earth and all sorts of soil and soft murum including conveying excavated material,  fixing stone , including paintaining lettering numbers and back filling etc. complete.",No.,As directed by Engineer in charge,189,183
I No:1-02 / Pg No:13,"Taking the trial pit for roads, alignment, C.D. Works in earth soil of all sorts, sands gravel or soft murum, including stacking the excavated material including all lifts and necessary back filling upto depth 1.5 meters",Cu.Mt.,As directed by Engineer in charge,482,482
I No:1-03 / Pg No:13,"Taking the trial pit for roads, alignment, C.D. Works in earth soil of all sorts, sands gravel, or soft murum, including stacking the excavated material including all lifts and necessary back filling upto depth 3.0 meters",Cu.Mt.,As directed by Engineer in charge,520,520
I No:1-04 / Pg No:13,"Taking the trial pit for roads, alignment, C.D. Works in Hard murum, including stacking the excavated material including all lifts and necessary back filling upto depth 1.5 meters",Cu.Mt.,As directed by Engineer in charge,631,631
